epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.301,0.91887,1.26235,1.38811,0.98907,0.99011,0.99276,0.75511,0.87659,0.72904,1.32872,0.00332353,0.00332353,0.00332353
2,123.353,0.77853,0.64073,1.25,0.98384,0.98184,0.99355,0.75776,0.93522,0.55212,1.41863,0.00659096,0.00659096,0.00659096
3,182.732,0.83743,0.56278,1.29091,0.97508,0.98607,0.99108,0.69144,1.10304,0.53986,1.57478,0.00979239,0.00979239,0.00979239
4,241.418,0.81634,0.50164,1.27111,0.89448,0.91144,0.96071,0.64422,1.20372,0.70168,1.70662,0.009703,0.009703,0.009703
5,299.955,0.77673,0.46184,1.24599,0.98124,0.98607,0.99282,0.79961,0.76237,0.4715,1.31349,0.009604,0.009604,0.009604
6,358.197,0.74388,0.42971,1.22155,0.97219,0.96511,0.99135,0.82915,0.63912,0.42993,1.20548,0.009505,0.009505,0.009505
7,416.402,0.71759,0.41079,1.20685,0.9856,0.99279,0.99339,0.84332,0.61073,0.33469,1.16596,0.009406,0.009406,0.009406
8,474.888,0.69675,0.39518,1.19491,0.98532,0.9908,0.9934,0.8577,0.60104,0.33873,1.12775,0.009307,0.009307,0.009307
9,533.51,0.67542,0.38115,1.17859,0.99162,0.99204,0.99413,0.88721,0.4991,0.28222,1.07283,0.009208,0.009208,0.009208
10,591.827,0.65726,0.36464,1.16484,0.98839,0.99544,0.99319,0.88258,0.48071,0.2782,1.06207,0.009109,0.009109,0.009109
11,650.071,0.6462,0.35618,1.16135,0.99224,0.9908,0.99437,0.88987,0.49304,0.26779,1.0636,0.00901,0.00901,0.00901
12,708.357,0.64496,0.35645,1.16274,0.99379,0.99487,0.9943,0.89712,0.45795,0.25352,1.03581,0.008911,0.008911,0.008911
13,766.402,0.62669,0.3451,1.15071,0.98209,0.99378,0.99381,0.88548,0.53066,0.29408,1.0637,0.008812,0.008812,0.008812
14,824.511,0.61384,0.33557,1.141,0.97284,0.9893,0.98969,0.89149,0.48164,0.30467,1.04044,0.008713,0.008713,0.008713
15,882.841,0.60606,0.33371,1.1366,0.9945,0.99552,0.99401,0.90456,0.45447,0.23837,1.02802,0.008614,0.008614,0.008614
16,941.161,0.60057,0.3285,1.1346,0.99188,0.99453,0.99282,0.88243,0.52798,0.26516,1.05291,0.008515,0.008515,0.008515
17,999.275,0.59332,0.32003,1.127,0.99257,0.99653,0.99333,0.90409,0.45054,0.24212,1.03499,0.008416,0.008416,0.008416
18,1057.24,0.59174,0.32082,1.13134,0.99368,0.99652,0.99446,0.90811,0.4673,0.241,1.0216,0.008317,0.008317,0.008317
19,1115.8,0.58881,0.32069,1.12633,0.99351,0.99652,0.99356,0.89529,0.49091,0.25513,1.04498,0.008218,0.008218,0.008218
20,1174.38,0.57956,0.3147,1.1206,0.99567,0.99652,0.99372,0.90646,0.45623,0.22436,1.02234,0.008119,0.008119,0.008119
21,1232.32,0.57622,0.30963,1.11849,0.99325,0.99701,0.99397,0.91342,0.43878,0.22081,0.99798,0.00802,0.00802,0.00802
22,1291.48,0.56893,0.30735,1.11602,0.99257,0.99647,0.9942,0.88918,0.51498,0.2415,1.04889,0.007921,0.007921,0.007921
23,1349.99,0.56519,0.30612,1.1135,0.99378,0.99801,0.99308,0.90237,0.48587,0.28385,1.05385,0.007822,0.007822,0.007822
24,1408.6,0.56002,0.30132,1.11029,0.99423,0.99502,0.99409,0.90068,0.48586,0.2399,1.02952,0.007723,0.007723,0.007723
25,1467.56,0.56124,0.30108,1.11013,0.99142,0.99652,0.99374,0.91902,0.40642,0.22845,1.00342,0.007624,0.007624,0.007624
26,1525.22,0.55588,0.2983,1.10862,0.99603,0.99766,0.99321,0.90377,0.48409,0.21856,1.02254,0.007525,0.007525,0.007525
27,1583.27,0.54147,0.29068,1.09866,0.9938,0.99753,0.99342,0.91338,0.44224,0.21304,0.99918,0.007426,0.007426,0.007426
28,1641.99,0.5456,0.2922,1.09808,0.9943,0.99732,0.99438,0.91733,0.44653,0.21116,0.99843,0.007327,0.007327,0.007327
29,1700.78,0.54257,0.28901,1.09919,0.99448,0.99826,0.9941,0.90782,0.46109,0.21619,1.00803,0.007228,0.007228,0.007228
30,1758.95,0.53915,0.28449,1.10022,0.99465,0.99701,0.99336,0.91892,0.41865,0.20706,0.98838,0.007129,0.007129,0.007129
31,1816.91,0.53844,0.28548,1.09646,0.99381,0.99797,0.99386,0.92046,0.41431,0.20321,0.987,0.00703,0.00703,0.00703
32,1874.63,0.53947,0.28709,1.09572,0.99281,0.99601,0.99262,0.92258,0.4017,0.22861,0.99369,0.006931,0.006931,0.006931
33,1932.82,0.52976,0.28167,1.09089,0.99317,0.99751,0.99229,0.92538,0.39009,0.20702,0.99186,0.006832,0.006832,0.006832
34,1991.07,0.52848,0.28097,1.09144,0.99473,0.99826,0.994,0.92426,0.41376,0.20598,0.99227,0.006733,0.006733,0.006733
35,2049.64,0.52625,0.27788,1.09208,0.99528,0.99671,0.99329,0.92012,0.41262,0.2099,0.9859,0.006634,0.006634,0.006634
36,2108.05,0.52732,0.27822,1.08932,0.99531,0.99577,0.99335,0.93145,0.38443,0.1992,0.97724,0.006535,0.006535,0.006535
37,2166.59,0.5231,0.27861,1.0854,0.99405,0.99782,0.99356,0.93086,0.38232,0.20379,0.97823,0.006436,0.006436,0.006436
